                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1641,                0.92578,                 1.2705,                0.75135,                0.94108,                0.81151,                0.52318,                 1.2254,                0.76122,                 1.2967,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.1479,                 0.9179,                 1.2615,                0.74226,                0.92424,                0.80627,                0.50337,                 1.2548,                0.75723,                  1.311,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.1496,                0.90805,                 1.2543,                0.77496,                 0.8897,                0.80164,                 0.4946,                   1.27,                0.78689,                  1.341,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.1416,                0.89443,                 1.2464,                0.77203,                 0.9086,                 0.8471,                0.53514,                 1.2395,                0.71084,                 1.3159,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.1407,                0.89635,                  1.256,                0.77327,                0.91427,                  0.835,                0.52234,                  1.249,                0.73266,                 1.3232,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.1333,                0.88024,                 1.2418,                 0.7628,                0.92688,                0.81961,                0.52221,                 1.2228,                0.75033,                 1.2991,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.1298,                0.88555,                 1.2427,                0.74607,                0.91378,                0.79223,                0.50215,                 1.2416,                0.76662,                 1.3265,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.1188,                0.86772,                 1.2347,                0.75878,                0.93151,                0.80902,                0.51715,                 1.2209,                0.75211,                 1.3064,               0.009604,               0.009604,               0.009604
                     43,                 1.1276,                0.88492,                 1.2442,                 0.8114,                0.88821,                0.86619,                0.54506,                 1.2615,                0.71417,                 1.3367,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.0968,                0.86345,                 1.2239,                   0.78,                0.88741,                0.82439,                0.52704,                 1.1951,                0.73555,                  1.292,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.1066,                0.85092,                 1.2312,                0.74762,                0.92622,                0.78239,                0.50251,                 1.2269,                0.76365,                 1.2966,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.0978,                0.84836,                 1.2202,                0.80896,                0.89501,                0.85867,                0.55725,                  1.213,                0.71034,                 1.3003,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.0952,                0.83813,                 1.2145,                0.82272,                0.91728,                0.89072,                0.57017,                 1.2186,                0.67226,                 1.3151,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.0764,                0.81692,                 1.2152,                0.81556,                0.90289,                0.88223,                0.56588,                 1.2173,                0.68316,                 1.3204,              0.0095446,              0.0095446,              0.0095446
                     49,                   1.08,                0.81398,                 1.2058,                0.74132,                0.93676,                0.81281,                0.52026,                 1.2346,                0.74926,                 1.3266,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.0718,                0.81315,                 1.2092,                0.74718,                0.91433,                0.81851,                0.51907,                 1.2115,                0.75753,                 1.3062,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.0837,                0.81269,                 1.2055,                0.81222,                0.91246,                0.89046,                0.56974,                  1.244,                0.68454,                 1.3337,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.0569,                0.78925,                 1.1938,                0.73641,                0.89311,                0.78644,                0.49961,                 1.2279,                 0.8614,                 1.3252,               0.009505,               0.009505,               0.009505
                     53,                 1.0806,                0.80092,                 1.2121,                0.77335,                0.86208,                0.81666,                0.50754,                 1.2664,                0.79356,                 1.3314,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.0701,                0.78833,                 1.1942,                0.82299,                0.90182,                0.89125,                0.57513,                 1.2446,                0.66669,                 1.3366,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.0604,                0.78521,                 1.1946,                0.82058,                0.87053,                0.87547,                0.56411,                 1.2254,                 0.6924,                 1.3252,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.0439,                0.77685,                 1.1969,                0.84115,                0.87635,                0.88155,                0.55248,                 1.2698,                0.68591,                 1.3684,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.0468,                0.77723,                 1.1982,                0.79603,                0.91429,                0.84269,                0.53064,                 1.2455,                0.71766,                 1.3414,              0.0094555,              0.0094555,              0.0094555
                     58,                  1.047,                0.76683,                 1.1958,                0.80267,                0.89011,                0.85141,                0.54422,                 1.2409,                0.69284,                 1.3276,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.0348,                0.74868,                 1.1836,                0.76074,                0.90279,                0.83232,                0.52155,                 1.2653,                0.76541,                 1.3383,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.0467,                0.76637,                 1.1891,                0.84639,                0.85897,                0.86777,                0.55821,                 1.2336,                0.67806,                 1.3143,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.0485,                0.76049,                 1.1878,                0.80613,                 0.8716,                0.84284,                0.54622,                 1.2472,                0.71641,                 1.3452,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.0303,                0.74843,                 1.1886,                0.76047,                0.92253,                0.82308,                0.52525,                 1.2316,                0.73588,                 1.3256,               0.009406,               0.009406,               0.009406
                     63,                 1.0181,                0.72673,                 1.1673,                0.83617,                0.85482,                0.87372,                0.57723,                 1.1845,                0.67712,                  1.296,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.0317,                 0.7363,                 1.1791,                0.80321,                0.89054,                0.85281,                 0.5373,                 1.2437,                0.70369,                 1.3268,              0.0093862,              0.0093862,              0.0093862
                     65,                  1.025,                0.73209,                 1.1842,                0.85691,                0.89784,                  0.896,                0.57101,                 1.2618,                0.65368,                 1.3325,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.0269,                0.72766,                 1.1745,                0.82229,                0.89486,                0.87703,                 0.5493,                 1.2692,                0.68388,                 1.3441,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.0159,                0.71431,                 1.1699,                0.80234,                0.90105,                0.88092,                0.56812,                 1.2401,                0.67485,                 1.3286,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.0125,                0.71114,                 1.1683,                0.81801,                0.90544,                0.88442,                0.57156,                 1.2461,                0.67052,                 1.3324,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.0018,                0.71562,                 1.1661,                0.85789,                0.87639,                0.89279,                0.57719,                  1.219,                0.66507,                   1.33,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.0114,                0.71618,                 1.1744,                 0.8109,                0.84267,                0.83947,                0.53747,                 1.2307,                0.76588,                 1.3305,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.0057,                0.70051,                 1.1712,                0.83356,                 0.8637,                0.86917,                0.56048,                 1.2186,                0.68884,                 1.3209,              0.0093169,              0.0093169,              0.0093169
